Model,Table1,Table2
Simple Linear Regression,0.806037101949631,0.947161011186398
Polynomial Regression(Degree 2),0.906043910366543,0.955838694824375
Ridge Regression,0.806135817985423,0.946740925326672
Lasso Regression,0.806074581583092,0.94729909539522
