Model,Table1,Table2
Simple Linear Regression,0.806037101949631,0.811778942179237
Polynomial Regression(Degree 2),0.906043910366543,0.916765540783031
Ridge Regression,0.806135817985423,0.811915471434525
Lasso Regression,0.806074581583092,0.811873325132271
